id,category,tier,points,question,option_a,option_b,option_c,option_d,correct_index,correct_answer
jokes-3-5,jokes,3,300,"يمشي بلا رجلين ويبكي بلا عينين، ما هو؟","الريح","السحاب","النهر","الشمعة",1,"السحاب"
jokes-3-6,jokes,3,300,"طاسة ترن في البحر لا إنس شافها ولا جن، ما هي؟","اللؤلؤة","السمكة","الصدفة","المرجان",0,"اللؤلؤة"
business-1-1,business,1,100,"ما هي عملة الولايات المتحدة؟","اليورو","الدولار","الجنيه","الين",1,"الدولار"
business-1-2,business,1,100,"ما اسم سوق الأسهم الكويتي؟","بورصة نيويورك","بورصة الكويت","ناسداك","سوق دبي",1,"بورصة الكويت"
business-1-3,business,1,100,"ما هي أغلى عملة في العالم؟","الدولار","اليورو","الدينار الكويتي","الجنيه الاسترليني",2,"الدينار الكويتي"
business-1-4,business,1,100,"ما هو الاسم الآخر للتجارة عبر الإنترنت؟","التجارة التقليدية","التجارة الإلكترونية","التجارة الحرة","تجارة الجملة",1,"التجارة الإلكترونية"
business-1-5,business,1,100,"من هو مؤسس شركة أمازون؟","بيل غيتس","جيف بيزوس","إيلون ماسك","مارك زوكربيرغ",1,"جيف بيزوس"
business-1-6,business,1,100,"ما هو البنك المركزي في الكويت؟","بيت التمويل","بنك الكويت المركزي","البنك الوطني","بنك برقان",1,"بنك الكويت المركزي"
business-2-1,business,2,200,"ما هو مؤشر داو جونز؟","مؤشر أسهم","عملة رقمية","بنك","شركة تأمين",0,"مؤشر أسهم"
business-2-2,business,2,200,"كم تبلغ نسبة الزكاة على المال؟","1%","2.5%","5%","10%",1,"2.5%"
business-2-3,business,2,200,"ما اسم أكبر شركة نفط في العالم؟","أرامكو","شل","بريتش بتروليوم","إكسون",0,"أرامكو"
business-2-4,business,2,200,"ما هو الناتج المحلي الإجمالي اختصاراً؟","GNP","GDP","GDI","GPP",1,"GDP"
business-2-5,business,2,200,"من هو رجل الأعمال المؤسس لشركة تسلا؟","جيف بيزوس","إيلون ماسك","ستيف جوبز","بيل غيتس",1,"إيلون ماسك"
business-2-6,business,2,200,"ما هي العملة الرقمية الأشهر؟","إيثريوم","بيتكوين","ريبل","لايتكوين",1,"بيتكوين"
business-3-1,business,3,300,"ما هو مبدأ العرض والطلب؟","زيادة العرض ترفع السعر","زيادة الطلب تخفض السعر","زيادة الطلب مع ثبات العرض ترفع السعر","لا علاقة بينهما",2,"زيادة الطلب مع ثبات العرض ترفع السعر"
business-3-2,business,3,300,"في أي عام تأسس صندوق النقد الدولي؟","1940","1944","1948","1952",1,"1944"
business-3-3,business,3,300,"ما هو أكبر بنك في الكويت من حيث الأصول؟","بنك الكويت الوطني","بيت التمويل الكويتي","بنك برقان","بنك الخليج",0,"بنك الكويت الوطني"
business-3-4,business,3,300,"ما معنى مصطلح ""التضخم""؟","ارتفاع قيمة العملة","انخفاض الأسعار","ارتفاع مستمر في الأسعار","ثبات الأسعار",2,"ارتفاع مستمر في الأسعار"
business-3-5,business,3,300,"كم تبلغ احتياطيات الكويت النفطية تقريباً بمليار برميل؟","50","75","101","130",2,"101"
business-3-6,business,3,300,"ما هو التنويع الاقتصادي الذي تسعى إليه رؤية السعودية 2030؟","الاعتماد على النفط أكثر","تقليل الاعتماد على النفط","إيقاف إنتاج النفط","بيع النفط بالتقسيط",1,"تقليل الاعتماد على النفط"
social-1-1,social,1,100,"ما هو تطبيق التواصل الأشهر في العالم؟","تيليجرام","واتساب","سناب شات","تويتر",1,"واتساب"
social-1-2,social,1,100,"ما هو اللون المميز لتطبيق فيسبوك؟","أحمر","أخضر","أزرق","أصفر",2,"أزرق"
social-1-3,social,1,100,"ما هي منصة مشاركة الفيديوهات القصيرة الأشهر؟","يوتيوب","تيك توك","إنستغرام","سناب شات",1,"تيك توك"
social-1-4,social,1,100,"ما هو الرمز # في السوشال ميديا؟","آت","هاشتاق","دولار","نجمة",1,"هاشتاق"
social-1-5,social,1,100,"من هو مؤسس فيسبوك؟","بيل غيتس","ستيف جوبز","مارك زوكربيرغ","جاك دورسي",2,"مارك زوكربيرغ"
social-1-6,social,1,100,"ما اسم تطبيق إيلون ماسك الذي كان يُسمى تويتر؟","ثريدز","X","بلوسكاي","ماستودون",1,"X"
social-2-1,social,2,200,"كم الحد الأقصى لطول فيديو تيك توك العادي بالدقائق؟","1","3","10","60",2,"10"
social-2-2,social,2,200,"ما معنى كلمة ""ترند""؟","إعلان","موضوع شائع","حساب وهمي","رسالة خاصة",1,"موضوع شائع"
social-2-3,social,2,200,"في أي عام تأسس يوتيوب؟","2003","2005","2007","2009",1,"2005"
social-2-4,social,2,200,"ما اسم خاصية البث المباشر في إنستغرام؟","ريلز","ستوري","لايف","آي جي تي في",2,"لايف"
social-2-5,social,2,200,"من هو أكثر شخص متابعةً على إنستغرام عربياً؟","محمد صلاح","محمد رمضان","جورجينا","هند القحطاني",0,"محمد صلاح"
social-2-6,social,2,200,"ما هو تطبيق المراسلة الأكثر استخداماً في الكويت؟","تيليجرام","واتساب","سناب شات","آي مسج",1,"واتساب"
social-3-1,social,3,300,"كم عدد مستخدمي فيسبوك النشطين شهرياً تقريباً بالمليار؟","1","2","3","4",2,"3"
social-3-2,social,3,300,"في أي جامعة تأسس فيسبوك؟","ستانفورد","MIT","هارفارد","ييل",2,"هارفارد"
social-3-3,social,3,300,"ما هو الـ NFT؟","عملة رقمية","رمز غير قابل للاستبدال","تطبيق تواصل","شبكة اتصال",1,"رمز غير قابل للاستبدال"
social-3-4,social,3,300,"ما هي خوارزمية السوشال ميديا؟","لغة برمجة","نظام ترتيب المحتوى","نوع إعلان","فلتر صور",1,"نظام ترتيب المحتوى"
social-3-5,social,3,300,"من أسس تطبيق سناب شات؟","جاك دورسي","إيفان شبيغل","كيفن سيستروم","يان كوم",1,"إيفان شبيغل"
social-3-6,social,3,300,"كم مليار مشاهدة يومية على يوتيوب تقريباً؟","1","3","5","8",2,"5"
ramadan-1-1,ramadan,1,100,"ما هو الشهر الذي يصوم فيه المسلمون؟","شعبان","رمضان","شوال","ذو الحجة",1,"رمضان"
ramadan-1-2,ramadan,1,100,"ما هو أول ما يُفطر عليه المسلم؟","ماء وتمر","أرز","لحم","فواكه",0,"ماء وتمر"
ramadan-1-3,ramadan,1,100,"ما اسم صلاة الليل في رمضان؟","الضحى","التهجد","التراويح","الوتر",2,"التراويح"
ramadan-1-4,ramadan,1,100,"ما اسم وجبة ما قبل الفجر في رمضان؟","الإفطار","الغداء","السحور","العشاء",2,"السحور"
ramadan-1-5,ramadan,1,100,"ما اسم ليلة القدر التي هي خير من ألف شهر؟","ليلة النصف","ليلة القدر","ليلة البراءة","ليلة الإسراء",1,"ليلة القدر"
ramadan-1-6,ramadan,1,100,"ما هو الشهر الذي يلي رمضان؟","شعبان","رجب","شوال","محرم",2,"شوال"
ramadan-2-1,ramadan,2,200,"في أي جزء من الشهر تكون ليلة القدر غالباً؟","أول عشر","وسط الشهر","العشر الأواخر","ليلة 15",2,"العشر الأواخر"
ramadan-2-2,ramadan,2,200,"ما هو المسحراتي؟","الذي يطبخ","الذي يوقظ الناس للسحور","الذي يؤذن","الذي يقرأ القرآن",1,"الذي يوقظ الناس للسحور"
ramadan-2-3,ramadan,2,200,"ما اسم الحلوى الرمضانية الشهيرة في الكويت؟","الكنافة","اللقيمات","القطايف","البسبوسة",1,"اللقيمات"
ramadan-2-4,ramadan,2,200,"كم عدد ركعات صلاة التراويح عادةً؟","8","10","20","8 أو 20",3,"8 أو 20"
ramadan-2-5,ramadan,2,200,"ما هو ""القرقيعان"" في الكويت؟","عيد ميلاد","احتفال أطفال منتصف رمضان","سوق شعبي","مسابقة دينية",1,"احتفال أطفال منتصف رمضان"
ramadan-2-6,ramadan,2,200,"ما هي كفارة إفطار رمضان عمداً؟","صيام يوم","صيام 3 أيام","صيام 60 يوماً","إطعام 10 مساكين",2,"صيام 60 يوماً"
ramadan-3-1,ramadan,3,300,"في أي سنة هجرية فُرض الصيام؟","1","2","3","4",1,"2"
ramadan-3-2,ramadan,3,300,"ما هي ""الفدية"" في الصيام؟","صيام يومين","إطعام مسكين عن كل يوم","صلاة ركعتين","قراءة جزء من القرآن",1,"إطعام مسكين عن كل يوم"
ramadan-3-3,ramadan,3,300,"ما اسم أول غزوة في الإسلام وقعت في رمضان؟","أحد","بدر","الخندق","حنين",1,"بدر"
ramadan-3-4,ramadan,3,300,"ما حكم من أكل ناسياً في نهار رمضان؟","يقضي","صيامه صحيح","يكفر","يعيد اليوم",1,"صيامه صحيح"
ramadan-3-5,ramadan,3,300,"كم عدد أبواب الجنة التي يدخل منها الصائمون؟","باب واحد","ثلاثة أبواب","باب الريان","جميع الأبواب",2,"باب الريان"
ramadan-3-6,ramadan,3,300,"ما هو الدعاء المأثور عند الإفطار؟","بسم الله","ذهب الظمأ وابتلت العروق","الحمد لله","اللهم لك صمت",1,"ذهب الظمأ وابتلت العروق"
travel-1-1,travel,1,100,"ما هو أشهر معلم سياحي في مصر؟","برج القاهرة","الأهرامات","المتحف المصري","النيل",1,"الأهرامات"
travel-1-2,travel,1,100,"في أي مدينة يوجد برج إيفل؟","لندن","باريس","روما","برلين",1,"باريس"
travel-1-3,travel,1,100,"ما هي أشهر وجهة سياحية في الإمارات؟","أبوظبي","دبي","الشارقة","رأس الخيمة",1,"دبي"
travel-1-4,travel,1,100,"ما اسم أكبر مطار في الكويت؟","مطار المبارك","مطار الكويت الدولي","مطار الأحمدي","مطار الجهراء",1,"مطار الكويت الدولي"
travel-1-5,travel,1,100,"ما هي عملة تركيا؟","الدينار","الدرهم","الليرة","اليورو",2,"الليرة"
travel-1-6,travel,1,100,"ما هو الجهاز المطلوب للسفر دولياً؟","بطاقة هوية","رخصة قيادة","جواز سفر","شهادة ميلاد",2,"جواز سفر"
travel-2-1,travel,2,200,"ما هو أطول مبنى في العالم؟","مركز شانغهاي","برج خليفة","أبراج الكويت","إمباير ستيت",1,"برج خليفة"
travel-2-2,travel,2,200,"في أي دولة يقع تاج محل؟","باكستان","الهند","بنغلادش","نيبال",1,"الهند"
travel-2-3,travel,2,200,"ما هي الجزيرة الإندونيسية الأشهر سياحياً؟","جاوة","بالي","سومطرة","بورنيو",1,"بالي"
travel-2-4,travel,2,200,"كم ساعة تقريباً من الكويت إلى لندن جواً؟","4","5","7","10",2,"7"
travel-2-5,travel,2,200,"ما اسم أشهر شارع تسوق في إسطنبول؟","تقسيم","الاستقلال","السلطان أحمد","بكر كوي",1,"الاستقلال"
travel-2-6,travel,2,200,"ما هي الدولة التي تضم أكثر المواقع التراثية لليونسكو؟","فرنسا","الصين","إيطاليا","إسبانيا",2,"إيطاليا"
travel-3-1,travel,3,300,"ما هو أقدم فندق في العالم ما زال يعمل؟","فندق نيشياما أونسن في اليابان","فندق ريتز لندن","فندق بلازا نيويورك","فندق رافلز سنغافورة",0,"فندق نيشياما أونسن في اليابان"
travel-3-2,travel,3,300,"كم عدد المناطق الزمنية في روسيا؟","7","9","11","13",2,"11"
travel-3-3,travel,3,300,"ما هي الدولة التي لم تستعمرها أي قوة أوروبية في أفريقيا؟","مصر","إثيوبيا","المغرب","نيجيريا",1,"إثيوبيا"
travel-3-4,travel,3,300,"ما اسم أعمق كهف في العالم؟","كهف كروبيرا","كهف مجلس الجن","كهف هيرد","كهف ليتشوغيلا",0,"كهف كروبيرا"
travel-3-5,travel,3,300,"كم تبلغ أطول رحلة طيران بلا توقف بالساعات تقريباً؟","14","17","19","22",2,"19"
travel-3-6,travel,3,300,"ما هي الدولة الأكثر زيارةً سياحياً في العالم؟","أمريكا","إسبانيا","فرنسا","إيطاليا",2,"فرنسا"
family-1-1,family,1,100,"كم عدد أصابع اليدين؟","ثمانية","عشرة","اثنا عشر","أربعة عشر",1,"عشرة"
family-1-2,family,1,100,"ما هو أول شيء يقوله المسلم عند ولادة طفله؟","الحمد لله","الأذان","بسم الله","التهنئة",1,"الأذان"
family-1-3,family,1,100,"ما اسم اللعبة الخليجية التقليدية للأطفال؟","الغميضة","التيلة","الدرباحة","الحجلة",2,"الدرباحة"
family-1-4,family,1,100,"ما هو عدد شهور الحمل؟","7","8","9","10",2,"9"
family-1-5,family,1,100,"ما اسم الوجبة الصحية التي يحتاجها الطفل يومياً؟","الحلويات","الوجبات السريعة","الفواكه والخضروات","المشروبات الغازية",2,"الفواكه والخضروات"
family-1-6,family,1,100,"من هو أول شخص يراه الطفل عادةً؟","أبوه","أمه","الطبيب","جده",1,"أمه"
family-2-1,family,2,200,"في أي عمر تقريباً يبدأ الطفل بالمشي؟","6 أشهر","9 أشهر","12 شهراً","18 شهراً",2,"12 شهراً"
family-2-2,family,2,200,"ما هو حق الزوجة على زوجها في الإسلام؟","النفقة والمعاملة الحسنة","الطاعة العمياء","العمل خارج البيت","الطبخ فقط",0,"النفقة والمعاملة الحسنة"
family-2-3,family,2,200,"ما هي العقيقة في الإسلام؟","هدية الزواج","ذبيحة عند الولادة","وليمة العيد","صدقة رمضان",1,"ذبيحة عند الولادة"
family-2-4,family,2,200,"كم عدد الأسنان اللبنية عند الطفل؟","16","18","20","24",2,"20"
family-2-5,family,2,200,"ما هي اللعبة الإلكترونية الأشهر عند الأطفال حالياً؟","ماريو","ماينكرافت","روبلوكس","فورتنايت",2,"روبلوكس"
family-2-6,family,2,200,"ما هو سن التمييز عند الطفل في الإسلام؟","5 سنوات","7 سنوات","9 سنوات","10 سنوات",1,"7 سنوات"
family-3-1,family,3,300,"ما هو عدد الكروموسومات في الإنسان؟","23","44","46","48",2,"46"
family-3-2,family,3,300,"ما هي نسبة الذكاء الطبيعية عند الأطفال IQ؟","70-85","85-115","115-130","130-145",1,"85-115"
family-3-3,family,3,300,"في أي عمر يبدأ الطفل بالكلام عادةً؟","6 أشهر","12 شهراً","18 شهراً","24 شهراً",1,"12 شهراً"
family-3-4,family,3,300,"ما هي مراحل نمو الطفل حسب بياجيه؟","مرحلتان","ثلاث مراحل","أربع مراحل","خمس مراحل",2,"أربع مراحل"
family-3-5,family,3,300,"كم ساعة نوم يحتاجها الطفل حديث الولادة يومياً؟","8-10","12-14","16-17","20-22",2,"16-17"
family-3-6,family,3,300,"ما هو الهرمون المسؤول عن النمو عند الأطفال؟","الأنسولين","التستوستيرون","هرمون النمو GH","الثيروكسين",2,"هرمون النمو GH"
culture-4-7,culture,4,400,"كم يبلغ ارتفاع برج خليفة بالمتر؟","728","828","928","1028",1,"828"
culture-4-8,culture,4,400,"ما عدد الكواكب في المجموعة الشمسية حسب تعريف 2006؟","7","8","9","10",1,"8"
culture-5-7,culture,5,500,"من هو الفيلسوف القائل ""أنا أفكر إذن أنا موجود""؟","سقراط","أرسطو","أفلاطون","ديكارت",3,"ديكارت"
culture-5-8,culture,5,500,"ما أصغر عظمة في جسم الإنسان؟","عظمة الرسغ","عظمة الركاب","عظمة الإصبع","الضلع الأخير",1,"عظمة الركاب"
culture-6-7,culture,6,600,"في أي قرن اخترع غوتنبرغ المطبعة؟","القرن الثالث عشر","القرن الرابع عشر","القرن الخامس عشر","القرن السادس عشر",2,"القرن الخامس عشر"
culture-6-8,culture,6,600,"ما اسم ظاهرة تغيّر تردد الصوت بسبب حركة المصدر؟","ظاهرة دوبلر","ظاهرة كيرشهوف","ظاهرة نيوتن","ظاهرة ماكسويل",0,"ظاهرة دوبلر"
sport-4-7,sport,4,400,"كم عدد لاعبي كرة السلة في الملعب من كل فريق؟","4","5","6","7",1,"5"
sport-4-8,sport,4,400,"كم مرة فازت البرازيل بكأس العالم؟","3","4","5","6",2,"5"
sport-5-7,sport,5,500,"من هو أكثر لاعب فوزاً ببطولة ويمبلدون للتنس؟","سامبراس","ديوكوفيتش","فيديرر","ماكنرو",2,"فيديرر"
sport-5-8,sport,5,500,"كم يبلغ طول ملعب كرة السلة الرسمي بالمتر؟","24","26","28","30",2,"28"
sport-6-7,sport,6,600,"ما هو أسرع وقت تم فيه تسجيل هدف في كأس العالم؟","8.1 ثانية","10.8 ثانية","15 ثانية","20 ثانية",0,"8.1 ثانية"
sport-6-8,sport,6,600,"كم عدد ميداليات مايكل فيلبس الأولمبية الذهبية؟","18","20","23","28",2,"23"
history-4-7,history,4,400,"في أي سنة ميلادية فُتحت القسطنطينية؟","1349","1453","1517","1571",1,"1453"
history-4-8,history,4,400,"في أي حادثة اشتعلت الحرب العالمية الأولى؟","غزو بولندا","اغتيال الأرشيدوق فرانز فرديناند","هجوم بيرل هاربر","أزمة السويس",1,"اغتيال الأرشيدوق فرانز فرديناند"
history-5-7,history,5,500,"كم عاماً استمرت الحرب المئة سنة بين إنجلترا وفرنسا؟","80","100","116","150",2,"116"
history-5-8,history,5,500,"من هو القائد الروماني الذي اغتيل في مجلس الشيوخ عام 44 ق.م؟","مارك أنطونيو","يوليوس قيصر","أوغسطس","نيرون",1,"يوليوس قيصر"
history-6-7,history,6,600,"في أي عام أُسّست الدولة العثمانية؟","1299","1350","1400","1453",0,"1299"
history-6-8,history,6,600,"ما اسم المعركة التي أنهت حكم نابليون بونابرت نهائياً؟","أوسترليتز","بورودينو","ووترلو","لايبزيغ",2,"ووترلو"
quran-4-7,quran,4,400,"ما أطول آية في القرآن الكريم؟","آية الكرسي","آية الدين","آية المواريث","آية الصداق",1,"آية الدين"
quran-4-8,quran,4,400,"كم عدد أنبياء الله المذكورين في القرآن الكريم؟","20","25","30","35",1,"25"
quran-5-7,quran,5,500,"ما هي أول آية نزلت من القرآن الكريم؟","الفاتحة","اقرأ باسم ربك","يا أيها المدثر","بسم الله",1,"اقرأ باسم ربك"
quran-5-8,quran,5,500,"في أي سورة ذُكرت قصة أصحاب الكهف؟","يوسف","الكهف","مريم","طه",1,"الكهف"
quran-6-7,quran,6,600,"كم عدد حروف القرآن الكريم تقريباً؟","230,000","310,000","340,000","400,000",1,"310,000"
quran-6-8,quran,6,600,"ما اسم السورة التي بدأت بحروف مقطعة ""الم"" وهي الأطول؟","آل عمران","البقرة","النساء","الأعراف",1,"البقرة"
gulf-4-7,gulf,4,400,"ما عاصمة سلطنة عُمان؟","صلالة","مسقط","نزوى","صحار",1,"مسقط"
gulf-4-8,gulf,4,400,"كم يبلغ ارتفاع برج خليفة؟","728م","828م","928م","1028م",1,"828م"
gulf-5-7,gulf,5,500,"ما اسم الجسر الذي يربط البحرين بالمملكة العربية السعودية؟","جسر الشيخ زايد","جسر الملك فهد","جسر الملك عبدالله","جسر القدير",1,"جسر الملك فهد"
gulf-5-8,gulf,5,500,"في أي عام انضمت الإمارات لمنظمة أوبك؟","1967","1971","1974","1980",2,"1974"
gulf-6-7,gulf,6,600,"ما اسم أول معرض إكسبو دولي استضافته دولة عربية؟","إكسبو دبي 2020","إكسبو الرياض 2030","إكسبو أبوظبي","إكسبو الكويت",0,"إكسبو دبي 2020"
gulf-6-8,gulf,6,600,"كم عدد الدول التي تعترف بها دولة الكويت كحدود بحرية؟","2","3","4","5",1,"3"
science-4-7,science,4,400,"ما الرمز الكيميائي للحديد؟","Ir","Fe","Au","Ni",1,"Fe"
science-4-8,science,4,400,"ما اسم العالم الذي اكتشف نظرية الانتقاء الطبيعي؟","لامارك","داروين","مندل","هايزنبرغ",1,"داروين"
science-5-7,science,5,500,"كم عدد أسنان الحكمة في فم الإنسان؟","2","4","6","8",1,"4"
science-5-8,science,5,500,"ما هي أصغر وحدة بيولوجية في الكائن الحي؟","الجزيء","الذرة","الخلية","الأنسجة",2,"الخلية"
science-6-7,science,6,600,"كم تقريباً عدد نيوكليوتيدات الجينوم البشري؟","1 مليار","3 مليار","10 مليار","30 مليار",1,"3 مليار"
science-6-8,science,6,600,"ما اسم الجسيم الأولي المسؤول عن كسر التناظر بين المادة والمادة المضادة؟","الهيغز بوزون","الكوارك","البوزيترون","الغلوون",0,"الهيغز بوزون"
geo-4-7,geo,4,400,"ما عاصمة أستراليا؟","سيدني","ملبورن","كانبيرا","بريزبن",2,"كانبيرا"
geo-4-8,geo,4,400,"ما أطول نهر في أمريكا الجنوبية؟","بارانا","الأمازون","أورينوكو","ساو فرانسيسكو",1,"الأمازون"
geo-5-7,geo,5,500,"كم عدد دول أمريكا الجنوبية؟","10","12","14","16",1,"12"
geo-5-8,geo,5,500,"ما أعمق بحيرة في أفريقيا؟","فيكتوريا","مالاوي","تنغانيقا","تشاد",2,"تنغانيقا"
geo-6-7,geo,6,600,"ما اسم أعمق بحيرة في العالم؟","تيتيكاكا","بايكال","فيكتوريا","سوبيريور",1,"بايكال"
geo-6-8,geo,6,600,"كم محيط للكرة الأرضية عند خط الاستواء بالكيلومتر؟","35,000","38,000","40,075","42,000",2,"40,075"
food-4-7,food,4,400,"من أي نبات يُستخرج الشوكولاتة؟","القهوة","الكاكاو","التوت","الفانيليا",1,"الكاكاو"
food-4-8,food,4,400,"ما أصل طبق المنسف الشهير؟","فلسطين","الأردن","السعودية","سوريا",1,"الأردن"
food-5-7,food,5,500,"كم درجة فرن البيتزا الإيطالية الحطب التقليدي تقريباً؟","200°C","300°C","400°C","480°C",3,"480°C"
food-5-8,food,5,500,"ما اسم الصلصة اليابانية المصنوعة من فول الصويا؟","واسابي","ميسو","صويا صوص","تيرياكي",2,"صويا صوص"
food-6-7,food,6,600,"كم سعرة حرارية تقريباً في 100 غرام زيت زيتون؟","500","700","884","1000",2,"884"
food-6-8,food,6,600,"ما اسم عملية تحويل السكر إلى كحول بالخميرة؟","التقطير","التخمر","التبريد","التجميد",1,"التخمر"
drama-4-7,drama,4,400,"في كم موسم يتكون مسلسل Breaking Bad؟","4","5","6","7",1,"5"
drama-4-8,drama,4,400,"من هو بطل الفيلم الكوريJi مسلسل ""لعبة الحبار""؟","لي جونغ جاي","باك هاي سو","وو جي هو","كيم يون جي",0,"لي جونغ جاي"
drama-5-7,drama,5,500,"كم حلقة في مسلسل ""فريندز"" (Friends) إجمالاً؟","200","228","236","300",2,"236"
drama-5-8,drama,5,500,"ما اسم أشهر مسرحية لعادل إمام؟","الزعيم","مدرسة المشاغبين","شاهد ما شافش حاجة","عيال حبيبة",1,"مدرسة المشاغبين"
drama-6-7,drama,6,600,"ما اسم أطول مسلسل أنيمي ياباني على الإطلاق؟","ناروتو","ون بيس","دراغون بول","سيلور مون",1,"ون بيس"
drama-6-8,drama,6,600,"في أي عام تأسس مهرجان كان السينمائي؟","1939","1946","1950","1955",1,"1946"
music-4-7,music,4,400,"من هو مؤلف السيمفونية التاسعة؟","موزارت","باخ","بيتهوفن","شوبان",2,"بيتهوفن"
music-4-8,music,4,400,"ما عدد مفاتيح البيانو الكاملة؟","66","76","88","96",2,"88"
music-5-7,music,5,500,"ما اسم أشهر مقام موسيقي عربي في الأغاني الحزينة؟","مقام الراست","مقام الحجاز","مقام البياتي","مقام النهاوند",2,"مقام البياتي"
music-5-8,music,5,500,"ما عدد نغمات السلم الموسيقي الكروماتيكي؟","7","10","12","14",2,"12"
music-6-7,music,6,600,"ما هو اسم البنية الموسيقية التي تقوم عليها قصائد أم كلثوم الطويلة؟","المقام العربي","الموشح","القصيدة المرسلة","الدور",3,"الدور"
music-6-8,music,6,600,"من هو مخترع نظام التدوين الموسيقي الغربي الحديث؟","باخ","موزارت","غيدو داريتسو","بيتهوفن",2,"غيدو داريتسو"
jokes-4-7,jokes,4,400,"ما العدد الذي يعطي نفس النتيجة سواء ضربته في نفسه أو جمعته؟","0","1","2","4",2,"2"
jokes-4-8,jokes,4,400,"أين البحر بلا ماء؟","الصحراء","على الخريطة","في الأحلام","في الكتاب",1,"على الخريطة"
jokes-5-7,jokes,5,500,"ما الشيء الذي إذا أخذت منه ازداد؟","الجبل","الحفرة","الماء","النار",1,"الحفرة"
jokes-5-8,jokes,5,500,"من هو مخترع شخصية ""مستر بين"" الكوميدية؟","بيتر سيلرز","روان أتكينسون","جون كليز","مايكل باللين",1,"روان أتكينسون"
jokes-6-7,jokes,6,600,"كم حلقة في مسلسل Seinfeld الكوميدي؟","150","170","180","200",2,"180"
jokes-6-8,jokes,6,600,"من كتب رواية ""غوليفر"" الساخرة؟","مارك توين","جوناثان سويفت","أوسكار وايلد","تشارلز ديكنز",1,"جوناثان سويفت"
business-4-7,business,4,400,"ما أكبر شركة في العالم من حيث القيمة السوقية 2024؟","مايكروسوفت","أرامكو","آبل","إنفيديا",2,"آبل"
business-4-8,business,4,400,"ما اسم أقدم بورصة في العالم ما زالت تعمل؟","نيويورك","لندن","أمستردام","طوكيو",2,"أمستردام"
business-5-7,business,5,500,"كم تبلغ نسبة الضريبة على القيمة المضافة في السعودية؟","5%","10%","15%","20%",2,"15%"
business-5-8,business,5,500,"ما معنى ""مؤشر أسعار المستهلك"" (CPI)؟","قياس البطالة","قياس التضخم","قياس الناتج المحلي","قياس الصادرات",1,"قياس التضخم"
business-6-7,business,6,600,"ما اسم نظرية الاقتصادي آدم سميث عن تحديد القيمة؟","نظرية الطلب","نظرية اليد الخفية","نظرية الفيض","نظرية كينز",1,"نظرية اليد الخفية"
business-6-8,business,6,600,"في أي عام تأسس صندوق النقد الدولي رسمياً؟","1940","1944","1948","1952",1,"1944"
social-4-7,social,4,400,"ما أكثر اسم شائع للذكور في العالم العربي؟","أحمد","محمد","علي","عمر",1,"محمد"
social-4-8,social,4,400,"كم الحد الأقصى لطول فيديو تيك توك بالدقائق حالياً؟","3","5","10","60",2,"10"
social-5-7,social,5,500,"كم مليار مستخدم نشط شهرياً على واتساب تقريباً؟","1","2","3","4",1,"2"
social-5-8,social,5,500,"في أي جامعة تأسست شبكة فيسبوك؟","ستانفورد","MIT","هارفارد","ييل",2,"هارفارد"
social-6-7,social,6,600,"ما هو تطبيق Meta المنافس لـ X (تويتر) الذي أُطلق عام 2023؟","ثريدز","بيانس","بلوسكاي","ماستودون",0,"ثريدز"
social-6-8,social,6,600,"كم عدد ساعات الفيديو المرفوعة على يوتيوب كل دقيقة تقريباً؟","100 ساعة","200 ساعة","500 ساعة","1000 ساعة",2,"500 ساعة"
ramadan-4-7,ramadan,4,400,"ما أول طعام أوصى النبي ﷺ بالفطر عليه؟","الماء","التمر","الخبز","الحليب",1,"التمر"
ramadan-4-8,ramadan,4,400,"ما اسم ليلة احتفال أطفال الكويت في منتصف رمضان؟","ليلة القدر","ليلة القرقيعان","ليلة الوقفة","ليلة الحناء",1,"ليلة القرقيعان"
ramadan-5-7,ramadan,5,500,"ما كفارة من أفطر متعمداً في رمضان بدون عذر؟","صيام يوم","صيام 3 أيام","صيام شهرين أو إطعام 60 مسكيناً","صدقة فقط",2,"صيام شهرين أو إطعام 60 مسكيناً"
ramadan-5-8,ramadan,5,500,"في أي غزوة انتصر المسلمون في رمضان وكانت أولى الغزوات؟","أحد","بدر","الخندق","حنين",1,"بدر"
ramadan-6-7,ramadan,6,600,"ما اسم باب الجنة المخصص للصائمين؟","باب الصلاة","باب الريان","باب الصدقة","باب العلم",1,"باب الريان"
ramadan-6-8,ramadan,6,600,"كم يوماً صام النبي ﷺ في رمضانات حياته كلها تقريباً؟","270","300","324","360",0,"270"
travel-4-7,travel,4,400,"ما أكبر مطار في العالم مساحةً؟","مطار دبي","مطار أتلانتا","مطار الملك فهد بالدمام","مطار بكين",2,"مطار الملك فهد بالدمام"
travel-4-8,travel,4,400,"ما اسم أطول سكة حديد في العالم؟","سكة الصين","السيبيرية العابرة","السكة الأمريكية","السكة الأسترالية",1,"السيبيرية العابرة"
travel-5-7,travel,5,500,"كم منطقة زمنية في روسيا؟","7","9","11","13",2,"11"
travel-5-8,travel,5,500,"ما أطول رحلة طيران مباشرة في العالم؟","سنغافورة-نيويورك","دبي-سيدني","لندن-سيدني","طوكيو-لندن",0,"سنغافورة-نيويورك"
